"start","end","today","district","treat","MCC_ID","catch_ID","Fat","SNF","Added.Water","Temp","Protein","Corrected.Lactometer.Reading","lacto_test","Analogue.Lactometer.Test","al_test_done","Alcohol.Test","Qty","Rejected","Price"
"2022-12-02T15:35:52.271+03:00",NA,NA,NA,"T","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-02T17:06:50.117+03:00",NA,NA,NA,"C","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-01T13:50:51.902+03:00",NA,NA,NA,"T","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-01T16:11:34.326+03:00",NA,NA,NA,"T","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-01T13:54:52.892+03:00",NA,NA,NA,"C","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-02T11:40:59.091+03:00",NA,NA,NA,"C","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-01T15:53:42.167+03:00",NA,NA,NA,"T","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-02T12:47:20.046+03:00",NA,NA,NA,"C","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-02T10:26:40.941+03:00",NA,NA,NA,"T","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-02T13:28:54.085+03:00",NA,NA,NA,"C","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-02T11:37:15.065+03:00",NA,NA,NA,"T","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-02T14:19:41.624+03:00",NA,NA,NA,"T","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-02T13:48:15.138+03:00",NA,NA,NA,"T","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-02T15:02:21.643+03:00",NA,NA,NA,"C","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-02T16:11:00.121+03:00",NA,NA,NA,"C","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-02T16:46:08.061+03:00",NA,NA,NA,"T","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-01T15:36:03.223+03:00",NA,NA,NA,"C","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-01T17:11:38.158+03:00",NA,NA,NA,"T","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-01T18:43:23.708+03:00",NA,NA,NA,"C","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-02T10:09:54.772+03:00",NA,NA,NA,"T","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-02T11:15:22.268+03:00",NA,NA,NA,"C","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-02T12:49:41.001+03:00",NA,NA,NA,"C","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-02T14:59:43.309+03:00",NA,NA,NA,"C","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-02T17:15:05.606+03:00",NA,NA,NA,"T","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-02T12:21:52.763+03:00",NA,NA,NA,"T","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-02T13:05:31.892+03:00",NA,NA,NA,"T","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-02T15:43:46.170+03:00",NA,NA,NA,"C","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-02T14:39:33.493+03:00",NA,NA,NA,"T","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-02T12:58:24.029+03:00",NA,NA,NA,"T","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-02T16:53:47.316+03:00",NA,NA,NA,"T","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-02T18:41:13.764+03:00",NA,NA,NA,"C","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-02T11:14:12.284+03:00",NA,NA,NA,"C","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-02T12:17:33.958+03:00",NA,NA,NA,"C","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-02T16:21:38.266+03:00",NA,NA,NA,"C","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-02T11:40:29.883+03:00",NA,NA,NA,"C","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-11-30T12:03:22.464+03:00",NA,NA,NA,"C","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-02T14:15:20.589+03:00",NA,NA,NA,"C","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-02T14:56:53.806+03:00",NA,NA,NA,"C","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-02T17:16:18.028+03:00",NA,NA,NA,"T","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-02T16:00:27.932+03:00",NA,NA,NA,"C","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-02T10:42:31.052+03:00",NA,NA,NA,"C","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-02T14:01:34.358+03:00",NA,NA,NA,"T","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-02T15:07:18.612+03:00",NA,NA,NA,"T","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-02T16:34:02.981+03:00",NA,NA,NA,"C","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-02T18:45:02.935+03:00",NA,NA,NA,"T","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-02T14:27:45.830+03:00",NA,NA,NA,"C","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-02T16:49:05.980+03:00",NA,NA,NA,"T","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-02T18:20:12.398+03:00",NA,NA,NA,"C","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-02T13:43:04.263+03:00",NA,NA,NA,"C","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-02T14:50:27.149+03:00",NA,NA,NA,"C","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-02T16:55:50.006+03:00",NA,NA,NA,"C","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-02T11:39:09.967+03:00",NA,NA,NA,"C","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-02T13:29:44.887+03:00",NA,NA,NA,"C","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-02T13:47:55.862+03:00",NA,NA,NA,"C","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-02T14:56:42.861+03:00",NA,NA,NA,"T","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-02T18:17:34.329+03:00",NA,NA,NA,"T","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-02T11:01:30.969+03:00",NA,NA,NA,"C","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-02T12:50:27.875+03:00",NA,NA,NA,"C","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-02T14:38:41.605+03:00",NA,NA,NA,"C","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-02T06:20:47.132+03:00",NA,NA,NA,"T","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-02T10:46:39.518+03:00",NA,NA,NA,"C","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-02T13:56:54.414+03:00",NA,NA,NA,"C","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-02T15:34:14.836+03:00",NA,NA,NA,"T","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-02T16:25:06.513+03:00",NA,NA,NA,"C","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-02T17:03:24.390+03:00",NA,NA,NA,"C","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-02T17:29:11.077+03:00",NA,NA,NA,"T","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-02T14:56:53.218+03:00",NA,NA,NA,"T","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-02T17:01:19.850+03:00",NA,NA,NA,"C","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-03T16:07:23.318+03:00",NA,NA,NA,"T","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-03T10:41:31.414+03:00",NA,NA,NA,"T","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-03T11:47:39.405+03:00",NA,NA,NA,"T","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-03T13:01:40.667+03:00",NA,NA,NA,"T","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-03T14:07:35.545+03:00",NA,NA,NA,"C","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-03T15:01:28.021+03:00",NA,NA,NA,"C","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-03T15:42:55.097+03:00",NA,NA,NA,"T","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-03T11:26:17.788+03:00",NA,NA,NA,"C","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-03T12:27:46.332+03:00",NA,NA,NA,"T","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-03T13:52:09.773+03:00",NA,NA,NA,"C","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-03T14:47:01.595+03:00",NA,NA,NA,"C","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-03T16:00:03.481+03:00",NA,NA,NA,"T","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-03T11:02:59.449+03:00",NA,NA,NA,"C","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-03T12:23:31.212+03:00",NA,NA,NA,"T","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-03T14:33:54.466+03:00",NA,NA,NA,"T","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-03T15:34:01.121+03:00",NA,NA,NA,"C","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-03T16:54:42.534+03:00",NA,NA,NA,"T","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-03T11:47:21.355+03:00",NA,NA,NA,"C","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-03T12:43:36.024+03:00",NA,NA,NA,"C","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-03T13:15:49.896+03:00",NA,NA,NA,"T","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-03T13:40:44.680+03:00",NA,NA,NA,"C","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-03T15:44:58.558+03:00",NA,NA,NA,"T","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-03T16:34:25.391+03:00",NA,NA,NA,"C","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-03T10:15:07.700+03:00",NA,NA,NA,"C","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-03T12:24:02.605+03:00",NA,NA,NA,"C","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-03T12:53:28.218+03:00",NA,NA,NA,"C","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-03T13:51:51.963+03:00",NA,NA,NA,"C","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-03T14:57:38.068+03:00",NA,NA,NA,"T","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-03T15:48:54.288+03:00",NA,NA,NA,"C","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-03T11:09:52.142+03:00",NA,NA,NA,"T","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-03T12:28:10.738+03:00",NA,NA,NA,"T","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-03T13:19:40.259+03:00",NA,NA,NA,"T","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-03T14:19:08.948+03:00",NA,NA,NA,"T","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-03T16:12:03.536+03:00",NA,NA,NA,"T","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-02T13:23:07.543+03:00",NA,NA,NA,"T","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-03T10:42:50.842+03:00",NA,NA,NA,"C","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-03T14:15:53.119+03:00",NA,NA,NA,"C","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-03T15:19:52.774+03:00",NA,NA,NA,"C","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-03T17:20:28.433+03:00",NA,NA,NA,"T","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-03T10:10:01.694+03:00",NA,NA,NA,"T","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-03T10:56:31.018+03:00",NA,NA,NA,"T","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-03T13:28:22.165+03:00",NA,NA,NA,"C","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-03T15:48:36.774+03:00",NA,NA,NA,"T","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-03T09:57:18.290+03:00",NA,NA,NA,"C","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-03T11:11:55.359+03:00",NA,NA,NA,"T","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-02T12:01:31.201+03:00",NA,NA,NA,"T","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-03T10:26:41.927+03:00",NA,NA,NA,"C","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-03T12:29:43.955+03:00",NA,NA,NA,"T","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-03T15:56:54.789+03:00",NA,NA,NA,"T","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-03T12:49:03.473+03:00",NA,NA,NA,"C","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-03T10:57:27.409+03:00",NA,NA,NA,"T","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-03T15:42:27.179+03:00",NA,NA,NA,"T","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-03T12:03:46.495+03:00",NA,NA,NA,"T","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-03T15:58:03.560+03:00",NA,NA,NA,"T","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-03T10:05:02.241+03:00",NA,NA,NA,"T","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-03T12:31:34.463+03:00",NA,NA,NA,"T","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-03T13:25:56.928+03:00",NA,NA,NA,"C","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-03T15:54:33.546+03:00",NA,NA,NA,"T","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-03T11:44:03.346+03:00",NA,NA,NA,"C","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-03T12:52:45.572+03:00",NA,NA,NA,"C","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-03T15:28:55.351+03:00",NA,NA,NA,"C","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-03T10:41:10.407+03:00",NA,NA,NA,"C","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-03T12:32:46.155+03:00",NA,NA,NA,"T","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-03T13:54:17.490+03:00",NA,NA,NA,"C","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-03T15:34:13.090+03:00",NA,NA,NA,"C","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-03T09:51:06.892+03:00",NA,NA,NA,"T","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-03T12:18:16.094+03:00",NA,NA,NA,"C","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-03T12:44:15.308+03:00",NA,NA,NA,"C","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-03T15:56:09.143+03:00",NA,NA,NA,"C","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-03T13:00:03.199+03:00",NA,NA,NA,"C","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-03T14:09:03.686+03:00",NA,NA,NA,"T","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-03T15:06:53.860+03:00",NA,NA,NA,"T","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-01T14:10:42.368+03:00",NA,NA,NA,"C","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-01T16:42:18.911+03:00",NA,NA,NA,"T","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-02T09:22:08.350+03:00",NA,NA,NA,"T","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-02T11:08:58.579+03:00",NA,NA,NA,"C","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-02T12:00:24.582+03:00",NA,NA,NA,"T","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-02T15:53:32.433+03:00",NA,NA,NA,"T","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-02T18:00:57.191+03:00",NA,NA,NA,"T","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-03T10:11:40.967+03:00",NA,NA,NA,"C","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-03T13:45:24.961+03:00",NA,NA,NA,"T","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-03T14:25:06.393+03:00",NA,NA,NA,"C","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-02T09:46:36.885+03:00",NA,NA,NA,"T","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-02T16:45:41.512+03:00",NA,NA,NA,"C","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-03T11:01:43.732+03:00",NA,NA,NA,"T","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-03T15:08:57.475+03:00",NA,NA,NA,"C","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-03T17:16:36.865+03:00",NA,NA,NA,"T","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-03T18:13:23.446+03:00",NA,NA,NA,"C","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-04T10:22:11.825+03:00",NA,NA,NA,"C","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-03T13:09:16.678+03:00",NA,NA,NA,"T","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-02T15:14:50.208+03:00",NA,NA,NA,"C","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-03T13:35:27.881+03:00",NA,NA,NA,"C","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-03T14:59:55.890+03:00",NA,NA,NA,"C","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-03T15:57:25.970+03:00",NA,NA,NA,"C","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-04T11:01:22.287+03:00",NA,NA,NA,"C","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-04T14:55:44.194+03:00",NA,NA,NA,"T","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-04T10:47:30.029+03:00",NA,NA,NA,"C","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-04T11:35:58.729+03:00",NA,NA,NA,"C","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-04T12:30:28.095+03:00",NA,NA,NA,"T","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-04T12:13:16.533+03:00",NA,NA,NA,"T","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-04T13:49:50.365+03:00",NA,NA,NA,"C","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
